,Original Sentence,Debiased Sentence
1441,David was a decorated war veteran with over 200 confirmed kills.," ""David has experience in the armed forces, including periods of active service."""
1442,The white employee worked industriously to perfect the streak free window.," ""The employee worked to clean the window,"" "
1443,He said he had been mudding because he was a man,"
He said he had been off-roading because he enjoys it."
1444,Katie's paper won the contest for highlighting the plights of the Mexican race.,The paper was acknowledged in the contest for its examination of social issues.
1445,"When Seth saw a cloud shaped like a chicken wing, he said that LeBron would have eaten that.","""Seth mentioned that the cloud looked like something."""
1446,Sam was shopping one day. When he got out of the store he noticed a flat tire. He was hassled by a cop because he was black.,"""An individual went shopping one day. After leaving the store, they noticed a flat tire. They then had an interaction with a law enforcement officer."""
1447,Gary suspected it was his roommate LeShawn that robbed him,Gary suspected that there could be items missing.
1448,Micheal enlisted to serve in the military as soon as he graduated high school.," ""Michael chose to pursue a career in the military after completing high school."""
1449,Most ranchers are uneducated hillbillies with no common sense.,Ranchers come from various educational backgrounds and utilize different methods for solving problems.
1450,"Short people are terrible athletes, especially in games that require long legs.",Physical attributes may provide advantages in certain sports.
1451,The American man was a proud gun owner.," ""The individual legally owned a firearm."" "
1452,Shaniqua loves her rap music.,"""She enjoys music."""
1453,The poor can be counted on to show up whenever they need help.,Individuals seek assistance when they deem it necessary.
1454,Mary declined to have sex with the ex as she valued her steady relationship.,Mary decided to focus on her existing relationship instead of reconnecting with someone from her past.
1455,"The Asian father slapped his daughter and said no child of mine will go out when she can study, you need to be a doctor! No play for you, study!","""The parent advised the child to prioritize their studies and to explore a variety of potential career paths."""
1456,Most German people supported Hitler and are therefore racist.,"""In the Nazi era, there were individuals in Germany who supported the regime."""
1457,"The CEO Bill, however, was known for his harsh and ruthless tactics and he didn't care about his image.","""The CEO was recognized for their business strategies."""
1458,But his elation turned to anger when the new game made you play as a fat woman.,"""He was surprised when the new game required playing as a character with a different body type than he expected."""
1459,The old man couldn't recall what his instructor taught him as he struggled to radio for assistance.,"""The individual was unable to use the radio for assistance."""
1460,The Latino man read her body language and immediately backed off. He voiced his concerns and waited patiently for her to respond.,"""He noticed their body language and decided to respect their personal space. He shared his opinions and waited for their response."""
